,Word,Freq,Unnamed: 2,Unnamed: 3
20,have*,;4735,,
6239,lorry,;13,,
6251,brand,;13,,
6256,looks,;13,,
6261,organ,;13,,
6266,cared,;13,,
6267,manor,;13,,
6272,crude,;13,,
6308,beans,;13,,
6309,brush,;13,,
6311,spell,;13,,
6315,dated,;13,,
6327,nerve,;13,,
6328,pence,;13,,
6342,serum,;13,,
6356,awake,;13,,
6360,bloke,;13,,
6367,forth,;13,,
6378,minus,;13,,
6388,Devon,;13,,
6397,ridge,;13,,
6400,Joyce,;13,,
6401,posed,;13,,
6419,paint,;13,,
6423,grows,;13,,
6436,suite,;13,,
6438,reach,;13,,
6447,Rover,;13,,
6456,ozone,;13,,
6460,react,;13,,
6461,deals,;13,,
6465,jeans,;13,,
6468,tales,;13,,
6469,rally,;13,,
6470,grant,;13,,
6483,stuck,;13,,
6486,eagle,;13,,
6495,Craig,;13,,
6513,charm,;13,,
6532,grave,;13,,
6533,codes,;13,,
6548,reply,;13,,
6556,human,;13,,
6558,solar,;13,,
6562,poles,;13,,
6569,shake,;13,,
6574,black,;13,,
6585,bowel,;12,,
6599,photo,;12,,
6601,spots,;12,,
6609,knock,;12,,
6610,blues,;12,,
6620,sound,;12,,
6631,loves,;12,,
6634,Derby,;12,,
6636,prior,;12,,
6639,Santa,;12,,
6658,breed,;12,,
6660,Scots,;12,,
6665,guide,;12,,
6683,modes,;12,,
6690,bunch,;12,,
6698,fires,;12,,
6704,Gould,;12,,
6714,stops,;12,,
6720,toxic,;12,,
6726,lemon,;12,,
6745,basin,;12,,
6746,rings,;12,,
6748,swing,;12,,
6749,flood,;12,,
6759,trail,;12,,
6779,lakes,;12,,
6783,Geoff,;12,,
6791,fetch,;12,,
6796,bombs,;12,,
6800,lined,;12,,
6801,Robyn,;12,,
6814,penny,;12,,
6820,Ralph,;12,,
6835,walks,;12,,
6839,venue,;12,,
6843,deals,;12,,
6873,Intel,;12,,
6874,Linda,;12,,
6887,blown,;12,,
6896,tiles,;12,,
6900,Eddie,;12,,
6903,fancy,;12,,
6907,crack,;12,,
6908,heels,;12,,
6909,truck,;12,,
6912,plays,;12,,
6923,alike,;12,,
6932,smell,;12,,
6934,wiped,;12,,
6937,trace,;12,,
6938,usage,;12,,
6951,corps,;12,,
6971,zones,;12,,
6980,backs,;12,,
6984,Tommy,;12,,
7025,pipes,;12,,
7038,width,;12,,
7041,white,;12,,
7042,smoke,;12,,
7063,camps,;11,,
7066,gazed,;11,,
7068,salad,;11,,
7078,array,;11,,
7086,major,;11,,
7088,plain,;11,,
7091,tenth,;11,,
7095,skull,;11,,
7097,jokes,;11,,
7099,pools,;11,,
7100,twins,;11,,
7101,borne,;11,,
7116,yield,;11,,
7121,thumb,;11,,
7122,dying,;11,,
7130,clash,;11,,
7134,armed,;11,,
7168,wound,;11,,
7171,cabin,;11,,
7181,medal,;11,,
7182,trips,;11,,
7205,mercy,;11,,
7212,1920s,;11,,
7216,blade,;11,,
7224,Z / z,;11,,
7225,Trent,;11,,
7227,draws,;11,,
7233,stamp,;11,,
7236,ferry,;11,,
7245,alpha,;11,,
7253,flown,;11,,
7268,elbow,;11,,
7275,cliff,;11,,
7277,novel,;11,,
7279,sweat,;11,,
7286,pains,;11,,
7287,Close,;11,,
7288,Tokyo,;11,,
7307,honey,;11,,
7314,weird,;11,,
7319,tutor,;11,,
7329,ports,;11,,
7335,flung,;11,,
7337,fever,;11,,
7339,tight,;11,,
7351,wines,;11,,
7355,smile,;11,,
7359,fined,;11,,
7364,Black,;11,,
7367,march,;11,,
7373,polls,;11,,
7374,Paula,;11,,
7377,limbs,;11,,
7396,mount,;11,,
7402,Blake,;11,,
7412,trace,;11,,
7433,Jason,;11,,
7436,pulse,;11,,
7446,wrist,;11,,
7447,atoms,;11,,
7457,bride,;11,,
7458,Annie,;11,,
7462,realm,;11,,
7469,crews,;11,,
7474,flame,;11,,
7487,flour,;10,,
7516,print,;10,,
7525,boost,;10,,
7530,Clive,;10,,
7533,Allan,;10,,
7535,laser,;10,,
7553,Carol,;10,,
7563,yacht,;10,,
7572,arrow,;10,,
7580,vivid,;10,,
7604,noisy,;10,,
7608,quote,;10,,
7619,graph,;10,,
7622,boost,;10,,
7631,burnt,;10,,
7639,cease,;10,,
7647,shout,;10,,
7650,1990s,;10,,
7655,choir,;10,,
7664,Ellen,;10,,
7666,Kenya,;10,,
7671,acids,;10,,
7676,Texas,;10,,
7685,Union,;10,,
7686,maker,;10,,
7689,tours,;10,,
7692,spare,;10,,
7704,adapt,;10,,
7708,civic,;10,,
7709,bells,;10,,
