jugador,inmigrante,gol,resultado
Chanturia,0.0,0.0,PERDIO
Ydrunas Karcemarskas,0.0,0.0,GANO
Gevorg Kasparov,1.0,0.0,EMPATO
Nir Davidovitch,0.0,0.0,PERDIO
Marc Oberweis,1.0,0.0,PERDIO
Strakosha,0.0,0.0,EMPATO
Dedic,0.0,0.0,PERDIO
Walter Zenga,1.0,0.0,EMPATO
Dmitri Kramarenko,1.0,0.0,GANO
Given,1.0,0.0,GANO
Sidorczuk,0.0,0.0,GANO
Hedman,0.0,0.0,GANO
Frode Grodas,0.0,0.0,EMPATO
Tome Pacovski,1.0,0.0,GANO
Leighton,1.0,0.0,EMPATO
Gevorg Kasparov,1.0,0.0,PERDIO
Kstas Khalkis,,0.0,EMPATO
Kramarenko,1.0,0.0,PERDIO
Npanayiotou,0.0,0.0,PERDIO
Milosevski,0.0,0.0,GANO
Vitor Baia,0.0,0.0,GANO
Ricardo,1.0,0.0,PERDIO
Jens Lehmann,0.0,0.0,PERDIO
Rni Arason,0.0,0.0,GANO
Jaaskelainen Jussi,0.0,0.0,GANO
Kahn,1.0,0.0,EMPATO
Revishvili Nukri,0.0,0.0,PERDIO
Hilfiker,0.0,0.0,EMPATO
Karavajevs,0.0,0.0,GANO
Oliver Kahn,0.0,0.0,PERDIO
Thomas Sorensen,1.0,0.0,PERDIO
Antonios Nikopolidis,0.0,0.0,GANO
Guso,0.0,0.0,PERDIO
Vyacheslav Malafeyev,0.0,0.0,PERDIO
Stauce,0.0,0.0,PERDIO
Oehry,0.0,0.0,PERDIO
Wojciech Kowalewski,0.0,0.0,GANO
Kasparov Gevorg,0.0,0.0,GANO
Lama,1.0,0.0,EMPATO
Kocic,0.0,0.0,PERDIO
Rst,0.0,0.0,PERDIO
Shovkovskyi,0.0,0.0,GANO
Thomas Mandl,0.0,0.0,GANO
Antonis Nikopolidis,0.0,0.0,PERDIO
Srnicek,,0.0,GANO
Mihailov,1.0,0.0,GANO
Borut Mavric,0.0,0.0,PERDIO
Vanins,0.0,0.0,PERDIO
Schmeichel,1.0,0.0,GANO
Mikhlis Sifkis,,0.0,GANO
Przemysaw Tyto,0.0,0.0,EMPATO
Gvaramadze,0.0,0.0,PERDIO
Robert Douglas,1.0,0.0,GANO
Mirko Hrgovic,1.0,0.0,GANO
Petr Cech,1.0,0.0,PERDIO
Stauce,0.0,0.0,GANO
Samir Handanovic,1.0,0.0,PERDIO
Filimonov,0.0,0.0,GANO
Jussi Jskelinen,0.0,0.0,EMPATO
Jonathan Joubert,0.0,0.0,GANO
Handanovic Samir,0.0,0.0,GANO
Joerg Stiel,0.0,0.0,PERDIO
Danut Coman,0.0,0.0,GANO
Dimitar Ivankov,0.0,0.0,PERDIO
Pletikosa Stipe,1.0,0.0,GANO
Bkristinsson,0.0,0.0,GANO
Antti Niemi,0.0,0.0,PERDIO
Lama,1.0,0.0,GANO
Ivica Kralj,0.0,0.0,GANO
Kelly,1.0,0.0,PERDIO
Atmatsidis,0.0,0.0,PERDIO
Iker Casillas,0.0,0.0,PERDIO
Gbor Kiraly,0.0,0.0,GANO
Olexandr Shovkovskiy,1.0,0.0,GANO
Oliver Kahn,0.0,0.0,EMPATO
Rst Reber,0.0,0.0,GANO
Nicoas Panayiotou,0.0,0.0,GANO
Taylor,1.0,0.0,PERDIO
Peersman Tristan,1.0,0.0,PERDIO
Roman Berezovsky,1.0,0.0,EMPATO
Jaromr Blazek,0.0,0.0,GANO
Dmytro Shutkov,0.0,0.0,GANO
Evghenii Hmaruc,0.0,0.0,PERDIO
Pletikosa Stipe,1.0,0.0,EMPATO
Lobont,0.0,0.0,GANO
Panayiotou,0.0,0.0,PERDIO
Marco Simeunovoc,1.0,0.0,PERDIO
Jahangir Hasanzade,0.0,0.0,PERDIO
Kjartan Sturluson,0.0,0.0,EMPATO
Jane Nikoloski,0.0,0.0,PERDIO
Stephan Andersen,0.0,0.0,GANO
Dmitriy Kramarenko,1.0,0.0,PERDIO
Shovkovskyi,0.0,0.0,PERDIO
Chris Woods,0.0,0.0,PERDIO
Brunner,1.0,0.0,GANO
Timo Hildebrand,0.0,0.0,PERDIO
Danny Coyne,1.0,0.0,GANO
Robert Enke,0.0,0.0,EMPATO
Ladi,0.0,0.0,GANO
Evghenii Hmaruc,0.0,0.0,GANO
Pjones,1.0,0.0,GANO
Mikkelsen Jakup,1.0,0.0,EMPATO
Paul Jones,1.0,0.0,GANO
Vencel,0.0,0.0,GANO
Aleksandrs Kolinko,1.0,0.0,PERDIO
Kelly,1.0,0.0,EMPATO
Lobont Bogdan   Gk,0.0,0.0,PERDIO
Zubizaretta,0.0,0.0,EMPATO
Nicolai Calancea,0.0,0.0,EMPATO
Niemi,0.0,0.0,PERDIO
Toni,0.0,0.0,GANO
Mrmic,0.0,0.0,GANO
Koch,1.0,0.0,PERDIO
Jussi Jskelinen,0.0,0.0,PERDIO
Felgen,1.0,0.0,PERDIO
Jussi Jskelinen,0.0,0.0,GANO
Packie Bonner,0.0,0.0,PERDIO
Maart Poom,0.0,0.0,PERDIO
Valeri Shantalosov,0.0,0.0,PERDIO
Buffon,0.0,0.0,GANO
Hkon Opdal,0.0,0.0,GANO
Logan Bailly,0.0,0.0,PERDIO
Poom,0.0,0.0,GANO
Stephan Andersen,0.0,0.0,PERDIO
Hakan Arikan,0.0,0.0,EMPATO
Hakan Arikan,0.0,0.0,GANO
Miroslav Knig,1.0,0.0,EMPATO
Igor Akinfeev,0.0,0.0,EMPATO
Bogdan Arges Vintila,0.0,0.0,GANO
Kirly,0.0,0.0,GANO
Gintaras Stauce,0.0,0.0,EMPATO
Jerzy Dudek,0.0,0.0,PERDIO
Fettis,1.0,0.0,PERDIO
Maart Poom,0.0,0.0,EMPATO
