,data
933,-15.08
934,4.0
935,8.09
936,1.39
937,5.31
938,8.63
939,-8.74
940,8.56
941,1.64
942,0.84
943,14.04
944,-5.76
945,-8.49
946,3.39
947,4.75
948,10.34
949,1.57
950,10.65
951,-3.01
952,6.41
953,2.66
954,17.37
955,-5.68
956,11.34
957,5.32
958,-11.41
959,0.92
960,-1.48
961,3.07
962,-1.62
963,9.93
964,8.74
965,-2.48
966,11.12
967,9.73
968,5.11
969,7.58
970,9.35
971,2.49
972,6.16
973,-4.46
974,13.56
975,9.69
976,-13.26
977,-1.95
978,-9.06
979,14.44
980,-6.45
981,12.48
982,4.21
983,-2.54
984,-14.87
985,-4.77
986,-28.46
987,-34.75
988,-4.99
989,11.2
990,-11.66
991,-0.37
992,19.06
993,9.78
994,16.31
995,-5.16
996,17.37
997,5.22
998,9.34
999,2.36
1000,12.15
1001,-1.96
1002,-16.25
1003,12.74
1004,10.76
1005,-3.78
1006,-5.82
1007,-12.66
1008,16.97
1009,-2.05
1010,14.24
1011,13.22
1012,3.89
1013,16.62
1014,-6.37
1015,-0.03
1016,0.1
1017,-2.76
1018,-5.6
1019,-0.67
1020,-0.75
1021,-6.0
1022,-30.67
1023,26.95
1024,0.48
1025,-4.57
1026,18.89
1027,-5.81
1028,-4.66
1029,0.51
1030,-15.7
1031,8.51
1032,-1.25
1033,2.89
1034,8.54
1035,2.29
1036,1.34
1037,-1.51
1038,3.86
1039,-7.37
1040,0.38
1041,-6.92
1042,-0.52
1043,-8.95
1044,-0.28
1045,4.24
1046,4.58
1047,7.37
1048,-4.94
1049,9.29
1050,-7.06
1051,6.25
1052,-0.29
1053,2.85
1054,-0.93
1055,4.89
1056,2.91
1057,0.25
1058,-9.56
1059,-7.41
1060,-0.94
1061,-7.87
1062,-10.08
1063,17.7
1064,-4.97
1065,11.43
1066,-6.85
1067,-4.85
1068,-10.67
1069,-1.67
1070,-6.13
1071,7.38
1072,-6.15
1073,-7.24
1074,-8.04
1075,8.01
1076,15.67
1077,11.43
1078,-4.41
1079,3.58
1080,4.47
1081,-8.17
1082,1.98
1083,3.13
1084,19.45
1085,-2.8
1086,12.92
1087,-8.49
1088,-1.78
1089,-2.17
1090,-1.6
1091,0.78
1092,7.72
1093,0.43
1094,-1.74
1095,3.06
1096,0.06
1097,13.86
1098,2.87
1099,-2.79
1100,-0.84
1101,-4.26
1102,3.81
1103,-1.42
1104,-2.06
1105,-9.72
1106,-1.58
1107,-12.59
1108,-1.78
1109,-10.66
1110,9.97
1111,8.63
1112,5.99
1113,0.73
1114,-10.9
1115,13.98
1116,-2.15
1117,-6.87
1118,6.64
1119,-0.8
1120,5.97
1121,8.28
1122,-9.03
1123,-12.12
1124,-18.98
1125,12.32
1126,4.7
1127,11.5
1128,6.13
1129,9.74
1130,2.07
1131,12.03
1132,13.98
1133,9.66
1134,2.06
1135,15.26
1136,-1.17
1137,6.4
1138,6.55
1139,-8.01
1140,2.52
1141,-1.37
1142,-9.9
1143,12.13
1144,-0.63
1145,8.89
1146,-6.23
1147,11.03
1148,5.8
1149,-14.55
1150,-2.5
1151,-19.6
1152,
1153,4.77
1154,-0.26
1155,0.23
1156,0.44
1157,5.27
1158,0.1
1159,2.85
1160,5.37
1161,0.39
1162,2.98
1163,-2.16
1164,-2.69
1165,10.54
1166,1.18
1167,5.52
1168,-3.25
1169,18.07
1170,8.69
1171,17.85
1172,-1.98
1173,10.13
1174,5.15
1175,8.49
1176,-10.43
1177,-1.09
1178,4.34
1179,5.96
1180,6.48
1181,10.29
1182,-0.54
1183,3.55
1184,6.8
1185,-5.06
1186,-6.21
1187,-16.27
1188,6.73
1189,-3.16
1190,8.0
1191,-7.43
1192,-14.47
1193,-8.42
1194,-4.09
1195,11.28
1196,2.62
1197,4.98
1198,-13.68
1199,-2.51
1200,-15.06
1201,3.79
1202,-4.88
1203,-13.79
1204,-2.89
1205,2.88
1206,-10.68
1207,12.19
1208,17.04
1209,-2.14
1210,-12.67
1211,-11.53
1212,15.93
1213,-6.74
1214,-1.51
1215,-22.5
1216,18.02
1217,-12.12
1218,-13.93
1219,5.84
1220,-4.14
1221,-7.67
1222,-13.19
1223,-11.99
1224,-3.16
1225,45.1
1226,67.43
1227,-5.97
1228,-12.03
1229,-1.2
1230,-5.82
1231,1.32
1232,-8.38
1233,8.43
1234,61.08
1235,42.9
1236,22.02
1237,-8.23
1238,9.77
1239,1.15
1240,-9.8
1241,-0.45
1242,-0.82
1243,11.88
1244,6.17
1245,0.8
1246,-5.41
1247,-2.3
1248,2.71
1249,-16.6
1250,14.81
1251,-6.9
1252,-6.81
1253,3.47
1254,1.93
1255,-6.56
1256,-5.35
1257,5.48
1258,28.92
1259,-1.55
1260,-3.48
1261,0.22
1262,10.18
