,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201212,   3.6875,   3.1182,   3.7866,   3.5677,   1.6363,  -0.2568
201301,   6.6199,   5.9843,   6.4418,   7.7173,   6.3548,   4.0368
201302,   1.5974,   0.7747,   0.7508,   1.6751,   1.4189,   1.1975
201303,   4.8955,   4.0968,   5.9416,   4.5435,   3.8532,   3.7625
201304,  -0.6566,  -0.5822,  -0.5660,   1.5371,   1.4314,   1.9848
201305,   5.5450,   5.1340,   4.6614,   5.4054,   2.1007,   2.3089
201306,   0.5192,  -0.3010,  -0.2950,  -2.2809,  -0.2490,  -2.2460
201307,   7.5316,   7.3085,   7.3463,   7.4188,   5.4580,   4.9091
201308,  -2.7952,  -3.5273,  -1.9459,  -2.5844,  -3.2963,  -2.0844
201309,   6.1290,   5.8501,   6.3362,   4.4953,   3.4970,   3.1617
201310,   0.4517,   4.4872,   4.0407,   2.7659,   4.5166,   4.6885
201311,   4.5142,   4.5895,   4.2905,   2.9978,   2.4758,   3.5343
201312,   2.7194,   1.6633,   2.5352,   3.2924,   2.6361,   2.5643
201401,  -0.1643,  -4.2027,  -5.1686,  -2.0543,  -2.4908,  -4.8141
201402,   5.5471,   4.0445,   4.1826,   4.1450,   4.3554,   5.0584
201403,  -2.2207,   1.2693,   1.1501,  -0.0539,   0.7895,   0.8015
201404,  -5.7476,  -3.1480,  -1.9689,  -1.3514,  -0.4943,   1.7725
201405,   0.1160,   0.4053,  -0.2321,   1.7682,   2.2209,   2.2192
201406,   6.2002,   5.0743,   4.8809,   4.1538,   2.1667,   1.7138
201407,  -6.1236,  -5.7229,  -6.4117,  -2.8796,  -2.0733,  -0.7830
201408,   5.2490,   3.5592,   5.2392,   5.6577,   3.4998,   4.3916
201409,  -6.3136,  -5.3310,  -4.0982,  -2.0035,  -1.5089,  -1.6210
201410,   5.7551,   7.3404,   4.0574,   1.6876,   2.1155,   2.3754
201411,   0.2947,  -0.4632,   1.4797,   2.3310,   1.3247,   4.2127
201412,   3.5164,   2.3455,   1.9238,  -0.4530,   0.7681,  -1.2946
201501,  -3.8878,  -5.2881,  -3.3908,  -4.5278,  -3.7756,  -1.7792
201502,   6.8485,   6.7236,   6.2223,   7.6054,   5.7637,   5.9981
201503,   1.1428,   2.2731,   1.9976,  -1.3251,  -0.9571,  -1.8681
201504,  -2.1595,  -1.9816,  -2.1238,   1.1763,   0.4397,   1.1288
201505,   3.5981,   1.2346,   1.0961,   1.9990,   1.3551,   0.9407
201506,   0.1740,   2.1557,   1.4242,  -1.6732,  -1.5061,  -2.0616
201507,  -3.0788,  -2.1298,  -2.4290,   1.7866,   2.0984,   1.8072
201508,  -6.7234,  -4.7465,  -6.2424,  -6.5535,  -6.1944,  -5.7557
201509,  -7.0530,  -3.7403,  -6.0782,  -4.7341,  -2.8522,  -2.0655
201510,   5.6434,   5.5751,   6.4101,   7.1769,   7.9521,   8.1141
201511,   5.7229,   3.5853,   1.1827,   1.0243,   0.5188,   0.0953
201512,  -4.3939,  -5.8522,  -5.3608,  -3.8152,  -1.4477,  -1.9293
201601, -11.8861,  -6.6037,  -9.2723,  -7.9256,  -5.6228,  -4.8693
201602,  -1.6056,   1.5845,   1.9565,  -1.9915,  -0.6452,   1.0507
201603,   7.3119,   8.1994,   8.7815,   6.9951,   6.6942,   7.0056
201604,   2.8200,   2.3987,   1.1909,   3.3518,   1.7506,  -0.8508
201605,   2.0195,   1.0316,   0.3346,   2.2923,   1.7294,   1.7865
201606,  -0.3446,   0.1703,  -0.1507,  -2.2336,  -0.2178,   0.5288
201607,   6.3051,   5.5593,   6.6255,   2.5086,   3.4419,   4.6772
201608,   3.0698,   2.1793,   2.2643,   2.5147,   0.3797,  -0.4620
201609,   4.2862,   0.6941,   0.0006,   0.6082,  -0.3704,   0.4385
201610,  -8.1238,  -3.1630,  -4.8392,  -1.3517,  -0.6275,  -2.7286
201611,  10.2159,  13.8118,  12.7674,   6.8321,   4.0785,   3.9315
201612,   0.3361,   4.2486,   2.5953,   1.4579,   2.1001,   1.6803
201701,   1.6836,  -0.5410,  -0.5502,   1.3036,   1.8616,   2.5357
201702,   1.9197,   1.3672,   0.8534,   2.0113,   4.1206,   3.9564
201703,   1.1999,  -0.2790,   1.0283,  -0.7330,  -0.2053,   0.7085
201704,   0.5294,   1.3340,   2.7769,  -0.0587,   1.2665,   1.5159
201705,  -1.6773,  -2.4269,  -2.0157,  -0.1604,   1.1107,   2.0774
201706,   4.8447,   3.3581,   2.0500,   1.4855,   1.4260,  -0.2413
201707,   0.3680,   0.8234,   0.4525,   3.0857,   2.0319,   1.8200
201708,  -0.6862,  -2.5399,  -2.1940,  -0.9245,   0.4665,   0.8174
201709,   7.3168,   7.7722,   7.0538,   4.2056,   2.5660,   1.4633
201710,  -0.0607,   0.6148,   1.0008,   1.9412,   2.7421,   2.5672
201711,   0.8175,   3.5766,   4.9993,   2.3316,   2.2495,   4.4749
201712,   0.5189,  -1.2998,   2.0655,   1.7487,   0.3979,   1.7177
201801,   3.4081,   1.9606,   2.0249,   5.9011,   6.1295,   5.8403
201802,  -2.7221,  -4.4693,  -3.4692,  -5.0720,  -3.2538,  -3.2058
201803,   1.1504,   1.4388,   1.0587,  -1.6266,  -2.6953,  -2.5092
201804,   3.0621,   0.6094,  -0.1701,   1.8687,   0.0098,   0.2825
201805,   8.6330,   6.9371,   4.0019,   2.0989,   2.5016,   2.6475
201806,   0.8189,   0.7995,   2.5441,   1.1660,  -0.4173,   1.0833
201807,   0.8762,   2.3168,   1.7316,   1.8258,   3.4664,   4.0139
