,data
1198,-2.1194
1199,-0.2905
1200,4.1757
1201,-3.9506
1202,-1.6081
1203,4.3401
1204,2.2853
1205,9.7392
1206,4.2904
1207,-2.3082
1208,1.7044
1209,-2.2481
1210,-5.62
1211,5.6925
1212,4.7258
1213,6.6149
1214,-2.4695
1215,0.3182
1216,-3.0367
1217,4.7258
1218,1.9602
1219,8.0063
1220,-0.2116
1221,4.8229
1222,2.0478
1223,-3.7782
1224,0.0795
1225,-2.2254
1226,1.8266
1227,1.5017
1228,6.2132
1229,2.3091
1230,0.8428
1231,1.896
1232,-0.5422
1233,0.8057
1234,2.2542
1235,3.5568
1236,0.1779
1237,-6.4366
1238,-2.4545
1239,0.3222
1240,0.6914
1241,-9.5161
1242,-0.4615
1243,-4.5825
1244,-2.49
1245,-1.3549
1246,2.6249
1247,4.4312
1248,-9.7479
1249,2.5577
1250,4.8405
1251,-10.8138
1252,-23.9195
1253,-14.8592
1254,4.255
1255,-8.0388
1256,-13.1387
1257,15.3377
1258,28.6603
1259,8.8503
1260,2.3341
1261,12.4491
1262,7.0838
1263,8.2264
1264,-5.8662
1265,2.7162
1266,8.6692
1267,-1.7119
1268,4.8492
1269,9.0002
1270,8.5095
1271,-7.0515
1272,-8.0912
1273,5.8481
1274,-8.6055
1275,11.5366
1276,4.5806
1277,2.6894
1278,7.2515
1279,-0.5853
1280,3.657
1281,0.7058
1282,0.5456
1283,-2.9747
1284,-1.7525
1285,-2.0898
1286,-9.6037
1287,-11.1063
1288,13.1485
1289,-1.5476
1290,0.7887
1291,8.7806
1292,2.8669
1293,2.6082
1294,-1.564
1295,-6.9029
1296,5.1052
1297,-1.9312
1298,2.6091
1299,3.7231
1300,-2.2486
1301,-0.1001
1302,3.3141
1303,6.5694
1304,1.4294
1305,5.8513
1306,-0.0978
1307,5.1961
1308,0.6947
1309,8.0668
1310,-2.2941
1311,6.3447
1312,4.0216
1313,5.1726
1314,1.9134
1315,-4.0779
1316,4.0999
1317,1.5214
1318,-2.1453
1319,-0.3492
1320,4.0855
1321,-5.4712
1322,4.8476
1323,-5.1876
1324,3.9817
1325,0.2236
1326,2.8219
1327,-4.5822
1328,5.591
1329,1.5383
1330,0.2564
1331,-0.4809
1332,0.9376
1333,-3.9804
1334,-5.5238
1335,-6.3821
1336,5.5214
1337,0.1823
1338,-6.305
1339,-10.4085
1340,2.0816
1341,9.8643
1342,3.4206
1343,-0.1324
1344,0.3079
1345,6.5927
1346,2.4283
1347,0.5485
1348,-5.2051
1349,12.7816
1350,3.3913
1351,-0.6881
1352,0.6517
1353,-0.0966
1354,2.3714
1355,-2.0073
1356,2.1193
1357,-0.3622
1358,-2.9871
1359,6.8089
1360,0.2898
1361,5.8119
1362,0.8174
1363,1.2932
1364,-3.7773
1365,2.4337
1366,0.5056
1367,5.618
1368,3.1092
1369,1.0108
1370,2.7487
1371,-2.48
1372,-11.2347
1373,-1.9586
1374,-13.5908
1375,14.6192
1376,5.4094
1377,-4.747
1378,3.0467
1379,-10.6698
1380,7.0495
1381,-2.2021
1382,-9.3638
1383,5.9252
1384,-0.755
1385,3.6963
1386,3.9096
1387,-7.2655
1388,-10.568
1389,-33.0731
1390,27.0988
1391,7.3607
1392,7.4651
1393,1.6069
1394,8.877
1395,-3.569
1396,1.0474
1397,25.4129
1398,10.6148
1399,8.0259
1400,13.1128
1401,4.5567
1402,4.1117
1403,6.1711
1404,0.6869
1405,-1.5415
1406,1.2279
1407,-3.2893
1408,3.3108
1409,-2.1541
1410,3.4004
1411,-7.2389
1412,1.7708
1413,-1.3774
1414,-8.2819
1415,2.259
1416,-8.6337
1417,
1418,19.3448
1419,37.4596
1420,-5.6057
1421,81.3302
1422,36.2814
1423,-20.6217
1424,-11.1792
1425,27.9075
1426,4.0399
1427,-40.9987
1428,-29.6392
1429,62.876
1430,45.0503
1431,21.567
1432,22.4726
1433,43.9224
1434,45.1148
1435,4.0693
1436,29.8965
1437,30.5469
1438,2.4013
1439,41.804
1440,11.5656
1441,-7.0285
1442,22.5197
1443,20.6811
1444,-18.8547
1445,55.7902
1446,23.7666
1447,20.17
1448,-0.2713
1449,30.3251
1450,24.1691
1451,27.4902
1452,-0.0956
1453,17.6552
1454,6.6137
1455,20.9994
1456,-6.418
1457,47.816
1458,28.4293
1459,8.3302
1460,18.7919
1461,-3.0301
1462,-31.0371
1463,46.0025
1464,29.513
1465,-4.5705
1466,16.7054
1467,46.7981
1468,4.2122
1469,-8.0331
1470,22.4627
1471,18.5553
1472,-17.686
1473,21.777
1474,22.2797
1475,36.6693
1476,
1477,18.0197
1478,44.7022
1479,-7.4245
1480,99.2709
1481,41.1443
1482,-28.0482
1483,-14.3101
1484,25.9143
1485,-1.8829
1486,-44.107
1487,-25.9439
1488,77.7026
1489,52.1787
1490,27.6211
1491,31.2684
1492,45.1413
1493,50.5827
1494,3.714
1495,30.391
1496,33.4992
1497,-7.3422
1498,32.5112
1499,4.7131
1500,-12.4112
1501,27.7669
1502,17.8293
1503,-23.2214
1504,59.3463
1505,27.0419
1506,21.596
1507,-2.838
1508,31.2232
1509,21.7853
1510,29.7736
1511,-6.3362
1512,16.9408
1513,-2.9253
1514,34.9622
1515,-3.5522
1516,60.4906
1517,29.9508
1518,9.58
1519,22.9438
1520,-10.0134
1521,-42.5095
1522,80.8009
1523,29.4081
1524,-12.1361
1525,16.4564
1526,51.5864
1527,3.6049
1528,-13.3344
1529,26.3188
1530,12.9978
1531,-16.8279
1532,13.8651
1533,21.7155
1534,43.255
1535,
1536,196.0
1537,196.0
1538,196.0
1539,196.0
1540,196.0
1541,196.0
1542,196.0
1543,196.0
1544,196.0
1545,196.0
1546,196.0
1547,196.0
1548,197.0
1549,197.0
1550,197.0
1551,197.0
1552,197.0
1553,197.0
1554,197.0
1555,197.0
1556,197.0
1557,197.0
1558,197.0
1559,197.0
1560,220.0
1561,220.0
1562,220.0
1563,220.0
1564,220.0
1565,220.0
1566,220.0
1567,220.0
1568,220.0
1569,220.0
1570,220.0
1571,220.0
1572,249.0
1573,249.0
1574,249.0
1575,249.0
1576,249.0
1577,249.0
1578,249.0
1579,249.0
1580,249.0
1581,249.0
1582,249.0
1583,249.0
1584,288.0
1585,288.0
1586,288.0
1587,288.0
1588,288.0
1589,287.0
1590,287.0
1591,287.0
1592,287.0
1593,287.0
1594,287.0
1595,287.0
1596,330.0
1597,330.0
1598,330.0
1599,330.0
1600,330.0
1601,330.0
1602,330.0
1603,330.0
1604,330.0
1605,330.0
1606,330.0
1607,330.0
1608,330.0
1609,330.0
1610,330.0
1611,330.0
1612,330.0
1613,330.0
1614,330.0
1615,330.0
1616,329.0
1617,329.0
1618,329.0
1619,329.0
1620,361.0
1621,361.0
1622,361.0
1623,361.0
1624,360.0
1625,360.0
1626,359.0
1627,359.0
1628,359.0
1629,359.0
1630,357.0
1631,356.0
1632,349.0
1633,349.0
1634,349.0
1635,349.0
1636,348.0
1637,347.0
1638,346.0
1639,346.0
1640,345.0
1641,345.0
1642,345.0
1643,344.0
1644,380.0
1645,379.0
1646,379.0
1647,378.0
1648,378.0
1649,378.0
1650,376.0
1651,376.0
1652,375.0
1653,375.0
1654,373.0
1655,373.0
1656,844.0
1657,842.0
1658,842.0
1659,841.0
1660,840.0
1661,840.0
1662,837.0
1663,834.0
1664,834.0
1665,832.0
1666,829.0
1667,824.0
1668,862.0
1669,858.0
1670,852.0
1671,846.0
1672,843.0
1673,840.0
1674,840.0
1675,839.0
1676,838.0
1677,837.0
1678,837.0
1679,831.0
1680,951.0
1681,948.0
1682,946.0
1683,944.0
1684,943.0
1685,940.0
1686,937.0
1687,936.0
1688,933.0
1689,926.0
1690,925.0
1691,921.0
1692,959.0
1693,956.0
1694,955.0
1695,954.0
1696,952.0
1697,947.0
1698,941.0
1699,938.0
1700,937.0
1701,934.0
1702,925.0
1703,923.0
1704,987.0
1705,982.0
1706,978.0
1707,975.0
1708,974.0
1709,971.0
1710,964.0
1711,963.0
1712,961.0
1713,956.0
1714,949.0
1715,939.0
1716,923.0
1717,917.0
1718,912.0
1719,911.0
1720,907.0
1721,901.0
1722,896.0
1723,891.0
1724,889.0
1725,884.0
1726,881.0
1727,875.0
1728,900.0
1729,895.0
1730,893.0
1731,890.0
1732,885.0
1733,882.0
1734,877.0
1735,874.0
1736,873.0
1737,872.0
1738,866.0
1739,863.0
1740,895.0
1741,889.0
1742,882.0
1743,881.0
1744,875.0
1745,871.0
1746,863.0
1747,854.0
1748,850.0
1749,850.0
1750,848.0
1751,844.0
1752,940.0
1753,936.0
