,data
1114,-8.6341
1115,8.9392
1116,-2.881
1117,-1.1431
1118,-1.6144
1119,3.7836
1120,7.9999
1121,3.9641
1122,-2.8177
1123,-7.6969
1124,-19.6556
1125,19.3762
1126,10.2686
1127,5.6863
1128,0.8439
1129,7.6533
1130,0.3682
1131,-2.2818
1132,21.3881
1133,11.2639
1134,12.1049
1135,4.1376
1136,-5.0547
1137,3.2708
1138,-2.5274
1139,6.7343
1140,-7.4616
1141,1.9219
1142,-5.3511
1143,2.1078
1144,-7.95
1145,-0.283
1146,-16.1916
1147,-0.0413
1148,1.2041
1149,-17.8882
1150,-3.4691
1151,-2.1678
1152,
1153,1.6885
1154,1.8012
1155,-3.5258
1156,-4.5496
1157,-0.4564
1158,3.8313
1159,0.4813
1160,1.3753
1161,-3.7428
1162,-4.1191
1163,5.0853
1164,0.2014
1165,5.9366
1166,0.4747
1167,2.078
1168,1.4613
1169,19.3928
1170,5.7817
1171,2.4789
1172,-4.9696
1173,4.907
1174,-0.2242
1175,2.2899
1176,-5.6926
1177,0.6013
1178,5.7179
1179,2.9196
1180,4.8196
1181,7.4597
1182,-1.8933
1183,1.5431
1184,-2.763
1185,-4.8031
1186,-1.2334
1187,-12.8491
1188,4.9872
1189,-2.5764
1190,-1.7198
1191,-8.763
1192,-19.6849
1193,-19.1373
1194,-4.3595
1195,5.939
1196,0.2341
1197,4.6105
1198,-6.3601
1199,-4.6959
1200,-22.837
1201,7.4566
1202,-2.6083
1203,-13.9812
1204,-6.2027
1205,-5.3548
1206,-15.6794
1207,16.1295
1208,8.8457
1209,-1.8125
1210,-17.3198
1211,-8.4551
1212,9.2648
1213,-4.9966
1214,6.7607
1215,-26.4162
1216,7.5966
1217,-15.9265
1218,-10.446
1219,-4.87
1220,-11.5219
1221,-5.6736
1222,-21.0767
1223,-13.7196
1224,-8.0905
1225,34.804
1226,45.4881
1227,-2.5386
1228,-16.7814
1229,-6.5584
1230,-20.4174
1231,13.9945
1232,-25.1147
1233,16.4674
1234,36.1923
1235,92.4467
1236,25.2851
1237,-7.5414
1238,7.6019
1239,-5.4138
1240,-12.6925
1241,0.321
1242,7.9148
1243,24.4384
1244,3.5608
1245,4.8535
1246,9.9914
1247,-10.4082
1248,1.661
1249,-22.0453
1250,18.5298
1251,-1.7825
1252,-5.7352
1253,28.1018
1254,5.0197
1255,-8.1334
1256,-3.1839
1257,-12.414
1258,10.4212
1259,-6.4283
1260,7.0144
1261,11.8744
1262,9.9053
1263,9.7559
1264,10.2621
1265,8.3586
1266,8.2359
1267,17.5705
1268,2.5486
1269,0.006
1270,-18.7463
1271,4.359
1272,-2.5767
1273,10.9228
1274,-1.5124
1275,3.8541
1276,1.8167
1277,13.3044
1278,3.5205
1279,12.2327
1280,-2.7313
1281,-3.1489
1282,-9.4121
1283,-0.8534
1284,-9.8108
1285,12.0042
1286,-7.6203
1287,-24.7048
1288,-10.4376
1289,-12.6457
1290,-15.1346
1291,5.6139
1292,12.2544
1293,-33.0974
1294,23.5601
1295,-12.6544
1296,39.6738
1297,9.2516
1298,-3.3536
1299,0.9682
1300,12.9584
1301,-5.747
1302,9.0024
1303,-2.9893
1304,-0.9694
1305,-16.9348
1306,-2.1978
1307,5.7252
1308,-9.3824
1309,14.3717
1310,-13.9221
1311,43.7617
1312,-1.5826
1313,-5.9383
1314,2.9911
1315,0.1365
1316,1.0149
1317,3.5467
1318,3.0777
1319,-23.9596
1320,4.3493
1321,4.0404
1322,3.1824
1323,7.6536
1324,5.9374
1325,1.1522
1326,-2.4294
1327,-3.3036
1328,0.0465
1329,-0.5106
1330,-8.0848
1331,4.3515
1332,2.3563
1333,12.8516
1334,-0.015
1335,-2.4147
1336,-5.77
1337,-2.3017
1338,-8.8133
1339,9.2746
1340,1.6221
1341,-4.6208
1342,-6.9973
1343,-0.5379
1344,1.2765
1345,3.6612
1346,-0.2697
1347,6.9288
1348,11.8656
1349,0.738
1350,2.1727
1351,15.0147
1352,16.5248
1353,13.8065
1354,-0.7785
1355,15.05
1356,0.3898
1357,-3.4761
1358,0.6644
1359,4.9382
1360,-3.1051
1361,-8.0105
1362,7.5099
1363,4.1031
1364,2.6309
1365,1.3922
1366,-1.368
1367,4.6887
1368,12.2128
1369,-0.5955
1370,3.1377
1371,2.7401
1372,-1.4468
1373,2.5002
1374,6.8578
1375,5.0405
1376,7.4095
1377,-4.0876
1378,8.0105
1379,3.4831
1380,8.4731
1381,-1.1747
1382,5.8808
1383,3.9202
1384,6.4937
1385,13.4712
1386,4.5226
1387,7.0175
1388,-5.3038
1389,3.5346
1390,4.0381
1391,7.1315
1392,-4.4545
1393,-4.439
1394,-7.3648
1395,-14.1661
1396,-3.8309
