,Date,Country,Finalresult,TeamPlayer1,foreign_1,goal_1,TeamPlayer2,foreign_2,goal_2,TeamPlayer3,foreign_3,goal_3,TeamPlayer4,foreign_4,goal_4,TeamPlayer5,foreign_5,goal_5,TeamPlayer6,foreign_6,goal_6,TeamPlayer7,foreign_7,goal_7,TeamPlayer8,foreign_8,goal_8,TeamPlayer9,foreign_9,goal_9,TeamPlayer10,foreign_10,goal_10,TeamPlayer11,foreign_11,goal_11,TeamPlayer12,foreign_12,goal_12,TeamPlayer13,foreign_13,goal_13,TeamPlayer14,foreign_14,goal_14,marcador,winners,losers,tie
36,2009-11-14,France,0-1,Hugo Lloris,0.0,0.0,Bacary Sagna,0.0,0.0,Eric Abidal,0.0,0.0,William Gallas,0.0,0.0,Lassana Diarra,0.0,0.0,Yoann Gourcuff,0.0,0.0,Nicolas Anelka,0.0,1.0,Andre Pierre Gignac,1.0,0.0,Thierry Henry,0.0,0.0,Patrice Evra,1.0,0.0,Alou Diarra,0.0,0.0,Florent Malouda,0.0,0.0,,,,,,,GANO,1.0,0.0,0.0
37,2009-11-14,Bosnia and Herzegovina,1-0,Kenan Hasagic,0.0,0.0,Emir Spahic,1.0,0.0,Samir Muratovic,1.0,0.0,Elvir Rahimic,0.0,0.0,Sanel Jahic,0.0,0.0,Zvjezdan Misimovic,1.0,0.0,Edin Dzeko,0.0,0.0,Safet Nadarevic,0.0,0.0,Vedad Ibisevic,0.0,0.0,Sejad Salihovic,0.0,0.0,Senijad Ibricic,1.0,0.0,Zlatan Muslimovic,1.0,0.0,Miralem Pjanic,0.0,0.0,,,,PERDIO,0.0,1.0,0.0
38,2009-11-14,Russia,2-1,Igor Akinfeev,0.0,0.0,Alexander Anyukov,0.0,0.0,Sergey Ignashevich,0.0,0.0,Vasili Berezutskiy,1.0,0.0,Diniyar Bilyaletdinov,0.0,1.0,Igor Denisov,0.0,0.0,Roman Pavlyuchenko,0.0,0.0,Andrey Arshavin,0.0,0.0,Sergey Semak,0.0,0.0,Konstantin Zyryanov,0.0,0.0,Yury Zhirkov,0.0,0.0,Dmitri Sychev,0.0,0.0,Vladimir Bystrov,1.0,0.0,,,,GANO,1.0,0.0,0.0
39,2009-11-14,Greece,0-0,Tzorvas,0.0,0.0,Nikos Spiropoulos,0.0,0.0,Evangelos Mantzios,0.0,0.0,Samaras,0.0,0.0,Kostas Katsouranis,0.0,0.0,Georgios Karagounis,0.0,0.0,Loukas Vyntra,0.0,0.0,Dimitrios Salpingidis,0.0,0.0,Sokratis Papastathopoulos,0.0,0.0,Kyrgiakos,0.0,0.0,Theofanis Gekas,0.0,0.0,Angelos Charisteas,0.0,0.0,Kostantinos Mitroglou,0.0,0.0,,,,EMPATO,0.0,0.0,1.0
40,2009-11-14,Republic of Ireland,0-1,Shay Given,1.0,0.0,Sean St Ledger,1.0,0.0,Kevin Kilbane,1.0,0.0,John O Shea,1.0,0.0,Richard Dunne,1.0,0.0,Glenn Whelan,1.0,0.0,Liam Lawrence,1.0,0.0,Keith Andrews,1.0,0.0,Kevin Doyle,1.0,0.0,Robbie Keane,1.0,0.0,Damien Duff,1.0,0.0,Aiden Mcgeady,1.0,0.0,Stephen Hunt,1.0,0.0,Leon Best,1.0,0.0,PERDIO,0.0,1.0,0.0
41,2009-11-14,Portugal,1-0,Eduardo,0.0,0.0,Bruno Alves,1.0,1.0,Paulo Ferreira,0.0,0.0,Duda,0.0,0.0,Ricardo Carvalho,1.0,0.0,Liedson,1.0,0.0,Deco,1.0,0.0,Simao,0.0,0.0,Pepe,1.0,0.0,Raul Meireles,1.0,0.0,Nani,0.0,0.0,Fabio Coentrao,1.0,0.0,Tiago,1.0,0.0,Hugo Almeida,0.0,0.0,GANO,1.0,0.0,0.0
42,2009-11-14,Ukraine,0-0,Pyatov,1.0,0.0,Yaroslav Rakitskiy,1.0,0.0,Kucher,0.0,0.0,Anatoliy Tymoschuk,0.0,0.0,Shevchenko,0.0,0.0,Oleg Gusev,0.0,0.0,Artem Milevsky,0.0,0.0,Yevhen Khacheridi,1.0,0.0,Vasyl Kobin,0.0,0.0,Mykhalik,0.0,0.0,Rotan,0.0,0.0,Andriy Yarmolenko,0.0,0.0,Oleksandr Aliyev,1.0,0.0,,,,EMPATO,0.0,0.0,1.0
43,2009-11-14,Slovenia,2-1,Samir Handanovic,0.0,0.0,Miso Brecko,0.0,0.0,Marko Suler,1.0,0.0,Bostjan Cesar,0.0,0.0,Robert Koren,1.0,0.0,Valter Birsa,0.0,0.0,Milivoje Novakovic,0.0,0.0,Bojan Jokic,1.0,0.0,Zlatko Dedic,1.0,0.0,Andraz Kirm,1.0,0.0,Aleksandar Radosavljevic,1.0,0.0,Nejc Pecnik,1.0,0.0,Zlatan Ljubijankic,1.0,0.0,Dalibor Stevanovic,0.0,0.0,PERDIO,0.0,1.0,0.0
44,2009-10-14,Malta,4–0,Andrew Hogg,1.0,0.0,Emanuel Muscat,0.0,0.0,Ian Azzopardi,1.0,0.0,Brian Said,1.0,0.0,John Hutchenson,1.0,0.0,Shaun Bajada,1.0,0.0,Roderick Briffa,0.0,0.0,Michael Mifsud,0.0,0.0,Andrew Cohen,1.0,0.0,Kenneth Scicluna,0.0,0.0,Jamie Pace,0.0,0.0,Clayton Failla,1.0,0.0,Kevin Sammut,0.0,0.0,Ryan Fenech,1.0,0.0,PERDIO,0.0,1.0,0.0
45,2009-10-14,Liechtenstein,0–2,Peter Jehle,1.0,0.0,Marco Ritzberger,1.0,0.0,Wolfgang Kieber,1.0,0.0,Yves Oehri,1.0,0.0,Martin Rechsteiner,1.0,0.0,Fabio D Elia,1.0,0.0,David Hasler,1.0,0.0,Ronny Buechel,1.0,0.0,Mario Frick,1.0,0.0,Lucas Eberle,1.0,0.0,Raphael Rohrer,1.0,0.0,Roger Beck,1.0,0.0,Mathias Christen,1.0,0.0,Michele Polverino,1.0,0.0,PERDIO,0.0,1.0,0.0
